Posting Date,Value Date,Description,Debits,Credits,Balance,,
21-06-2021,21-06-2021, S11105895-21-JUN-21-34  IDEJO MAY 2021 EZ CASH PREMIUM {UNSWEPT},,280.00,6066010.94,,
21-06-2021,21-06-2021, S11105895-21-JUN-21-37  IDEJO MAY 2021 EZ CASH PREMIUM {UNSWEPT},,698.18,6066709.12,,
21-06-2021,21-06-2021, S11105895-21-JUN-21-36  IDEJO MAY 2021 EZ CASH PREMIUM {UNSWEPT},,104.67,6066813.79,,
21-06-2021,21-06-2021, S11105895-21-JUN-21-47  IDEJO MAY 2021 EZ CASH PREMIUM {UNSWEPT},,175.00,6066988.79,,
21-06-2021,21-06-2021, S11105895-21-JUN-21-38  IDEJO MAY 2021 EZ CASH PREMIUM {UNSWEPT},,541.26,6067530.05,,
21-06-2021,21-06-2021, S11105895-21-JUN-21-39  IDEJO MAY 2021 EZ CASH PREMIUM {UNSWEPT},,294.00,6067824.05,,
21-06-2021,21-06-2021, S11105895-21-JUN-21-40  IDEJO MAY 2021 EZ CASH PREMIUM {UNSWEPT},,406.79,6068230.84,,
21-06-2021,21-06-2021, S11105895-21-JUN-21-46  IDEJO MAY 2021 EZ CASH PREMIUM {UNSWEPT},,863.91,6069094.75,,
21-06-2021,21-06-2021, S11105895-21-JUN-21-42  IDEJO MAY 2021 EZ CASH PREMIUM {UNSWEPT},,460.82,6069555.57,,
21-06-2021,21-06-2021, S11105895-21-JUN-21-43  IDEJO MAY 2021 EZ CASH PREMIUM {UNSWEPT},,163.40,6069718.97,,
21-06-2021,21-06-2021, S11105895-21-JUN-21-35  IDEJO MAY 2021 EZ CASH PREMIUM {UNSWEPT},,525.00,6070243.97,,
21-06-2021,21-06-2021, S11105895-21-JUN-21-44  IDEJO MAY 2021 EZ CASH PREMIUM {UNSWEPT},,105.00,6070348.97,,
21-06-2021,21-06-2021, S11105895-21-JUN-21-45  IDEJO MAY 2021 EZ CASH PREMIUM {UNSWEPT},,70.00,6070418.97,,
21-06-2021,21-06-2021, S11105895-21-JUN-21-41  IDEJO MAY 2021 EZ CASH PREMIUM {UNSWEPT},,606.48,6071025.45,,
21-06-2021,21-06-2021, S11105895-21-JUN-21-51  IDEJO MAY 2021 EZ CASH PREMIUM {UNSWEPT},,276.93,6071302.38,,
21-06-2021,21-06-2021, S11105895-21-JUN-21-49  IDEJO MAY 2021 EZ CASH PREMIUM {UNSWEPT},,700.00,6072002.38,,
21-06-2021,21-06-2021, S11105895-21-JUN-21-50  IDEJO MAY 2021 EZ CASH PREMIUM {UNSWEPT},,439.38,6072441.76,,
21-06-2021,21-06-2021, S11105895-21-JUN-21-52  IDEJO MAY 2021 EZ CASH PREMIUM {UNSWEPT},,350.00,6072791.76,,
21-06-2021,21-06-2021, S11105895-21-JUN-21-55  IDEJO MAY 2021 EZ CASH PREMIUM,,13118563.49,19191355.25,,
21-06-2021,21-06-2021, S11105895-21-JUN-21-54  IDEJO MAY 2021 EZ CASH PREMIUM {UNSWEPT},,70.00,19191425.25,,
21-06-2021,21-06-2021, S11105895-21-JUN-21-53  IDEJO MAY 2021 EZ CASH PREMIUM {UNSWEPT},,964.32,19192389.57,,
25-06-2021,25-06-2021, 01211453-25-JUN-21-1  IDEJO REV OF INSURANCE PREMIUM ON EZ CASH - 0010587011,2170,,19190219.57,,
30-06-2021,30-06-2021, Interest run  IDEJO 0037134164:WTax.Pd:01-06-2021to 30-06-2021,368.04,,19189851.53,,
30-06-2021,30-06-2021, Interest run  IDEJO 0037134164:Int.Pd:01-06-2021 to 30-06-2021,,3680.38,19193531.91,,
22-07-2021,22-07-2021, S35745069-22-JUL-21-4  IDEJO JUNE 2021 EZ CASH PREMIUM,,10716778.45,29910310.36,,
22-07-2021,22-07-2021, S35745069-22-JUL-21-3  IDEJO JUNE 2021 EZ CASH PREMIUM {UNSWEPT},,393.06,29910703.42,,
22-07-2021,22-07-2021, S35746052-22-JUL-21-26  IDEJO SIIL JUNE 2021 PLPP,,11805632.10,41716335.52,,
27-07-2021,27-07-2021, 01104971-27-JUL-21-1  IDEJO REFUND TO GROUP LIFE ACCOUNT IRO EZ CASH COMMISSIO,3356914.19,,38359421.33,,
31-07-2021,31-07-2021, Interest run  IDEJO 0037134164:WTax.Pd:01-07-2021to 31-07-2021,2201.21,,38357220.12,,
31-07-2021,31-07-2021, Interest run  IDEJO 0037134164:Int.Pd:01-07-2021 to 31-07-2021,,22012.13,38379232.25,,
25-08-2021,25-08-2021, 0199321-25-AUG-21-1  IDEJO REFUND OF WHT JULY 2021,108672.52,,38270559.73,,
25-08-2021,25-08-2021, 0199321-25-AUG-21-3  IDEJO REFUND OF WHT JULY 2021,264317.94,,38006241.79,,
31-08-2021,31-08-2021, Interest run  IDEJO 0037134164:WTax.Pd:01-08-2021to 31-08-2021,3252.45,,38002989.34,,
31-08-2021,31-08-2021, Interest run  IDEJO 0037134164:Int.Pd:01-08-2021 to 31-08-2021,,32524.53,38035513.87,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
